east_err(m),north_err(m),up_err(m),2d_err(m),3d_err(m)
4.460711610347579699e+05,2.549529727783345152e+06,6.495397847683643922e+06,2.588258355257046875e+06,6.992086563626856543e+06
4.460715014847160783e+05,2.549530900742771570e+06,6.495390173833735287e+06,2.588259569339805748e+06,6.992079884313030168e+06
4.460727113702996867e+05,2.549530522035337985e+06,6.495388944527056068e+06,2.588259404816108290e+06,6.992078681429674849e+06
4.460735262173669762e+05,2.549530848600078374e+06,6.495388662928333506e+06,2.588259866929020733e+06,6.992078590895081870e+06
4.460735359067935497e+05,2.549531526074083988e+06,6.495389522989446297e+06,2.588260535935676657e+06,6.992079637507220730e+06
4.460737401651421678e+05,2.549532759917264804e+06,6.495390777357219718e+06,2.588261786519336049e+06,6.992081265698610805e+06
4.460743468428121414e+05,2.549533395261389669e+06,6.495390789971885271e+06,2.588262516914447304e+06,6.992081547787890770e+06
4.460750394472329644e+05,2.549533032128386199e+06,6.495390021684066392e+06,2.588262278582217637e+06,6.992080745852735825e+06
4.460754813309870660e+05,2.549532611811862793e+06,6.495390150936016813e+06,2.588261940711737610e+06,6.992080740853433497e+06
4.460764796187963802e+05,2.549532865946061909e+06,6.495388713585501537e+06,2.588262363093865104e+06,6.992079561960243620e+06
4.460770304714383092e+05,2.549533542145459913e+06,6.495387883532202803e+06,2.588263124112189747e+06,6.992079072577479295e+06
4.460775096570856986e+05,2.549534038401661441e+06,6.495386637719691731e+06,2.588263695528442971e+06,6.992078126784488559e+06
4.460777769847869640e+05,2.549534708952459507e+06,6.495385769964646548e+06,2.588264402118336875e+06,6.992077582230635919e+06
4.460776577442617854e+05,2.549534703494790476e+06,6.495385999142792076e+06,2.588264376191674266e+06,6.992077785531500354e+06
4.460777782757420209e+05,2.549534603967289906e+06,6.495385779779413715e+06,2.588264298926612362e+06,6.992077553149614483e+06
4.460776729662789148e+05,2.549534387189785019e+06,6.495386167303672992e+06,2.588264067243178841e+06,6.992077827383080497e+06
4.460781787710704375e+05,2.549534576142099686e+06,6.495385935470255092e+06,2.588264340541705955e+06,6.992077713185444474e+06
4.460783982212319388e+05,2.549534565702805761e+06,6.495385545076707378e+06,2.588264368080087472e+06,6.992077360717946663e+06
4.460791896580115426e+05,2.549534814296769910e+06,6.495384116873123683e+06,2.588264749355678447e+06,6.992076175105993636e+06
4.460793906072917162e+05,2.549535310645811260e+06,6.495383512513850816e+06,2.588265272910488304e+06,6.992075807483152486e+06
4.460784735105247237e+05,2.549536346274362877e+06,6.495385255484266207e+06,2.588266134983709082e+06,6.992077745753826573e+06
4.460792559153067414e+05,2.549536759320974816e+06,6.495384296581219882e+06,2.588266676694434602e+06,6.992077055493650958e+06
4.460802134244759800e+05,2.549536967911754269e+06,6.495383207622144371e+06,2.588267047187651973e+06,6.992076181036446244e+06
4.460801027896522428e+05,2.549537024792403448e+06,6.495383719585188664e+06,2.588267084149572067e+06,6.992076670313651673e+06
4.460808380401649047e+05,2.549537591292635538e+06,6.495381800844968297e+06,2.588267768891169224e+06,6.992075141346015036e+06
4.460813393725674832e+05,2.549537993524303194e+06,6.495380309879006818e+06,2.588268251507241745e+06,6.992073934944070876e+06
4.460808749504088773e+05,2.549537838588603772e+06,6.495380093759698793e+06,2.588268018848042935e+06,6.992073648053295910e+06
4.460811617305270047e+05,2.549537609875573777e+06,6.495378890546890907e+06,2.588267842983200680e+06,6.992072465212518349e+06
4.460817464615757344e+05,2.549538304973931052e+06,6.495377478538480587e+06,2.588268628457169048e+06,6.992071444268891588e+06
4.460821911435642978e+05,2.549539106912053190e+06,6.495376662250258960e+06,2.588269495035119820e+06,6.992071006750050001e+06
4.460824093728203443e+05,2.549540040201233700e+06,6.495375619982741773e+06,2.588270451970034745e+06,6.992070392752589658e+06
4.460825464286941569e+05,2.549540680191897321e+06,6.495374690214967355e+06,2.588271106005255599e+06,6.992069771138360724e+06
4.460838970041923458e+05,2.549540706805189606e+06,6.495371019455477595e+06,2.588271364989218768e+06,6.992066457007202320e+06
4.460848201093597454e+05,2.549540270664460957e+06,6.495368244378917851e+06,2.588271094470556360e+06,6.992063778925209306e+06
4.460858208555658930e+05,2.549540904337306041e+06,6.495366879208034836e+06,2.588271891138462350e+06,6.992062805636845529e+06
4.460868675503662089e+05,2.549540607174825389e+06,6.495364505047192797e+06,2.588271778819657862e+06,6.992060558552195318e+06
4.460871770496695535e+05,2.549541046653536148e+06,6.495364127949235030e+06,2.588272265063965693e+06,6.992060388236722909e+06
4.460876222882496077e+05,2.549541471120751463e+06,6.495363552604497410e+06,2.588272759916031267e+06,6.992060036943781190e+06
4.460886697683825041e+05,2.549541746888588183e+06,6.495362556073523127e+06,2.588273212090145331e+06,6.992059278586345725e+06
4.460901726518957876e+05,2.549542021602189168e+06,6.495359853224172257e+06,2.588273741715117823e+06,6.992056963793152943e+06
4.460897898472436354e+05,2.549542764399859123e+06,6.495360704492911696e+06,2.588274407420827076e+06,6.992058001016602851e+06
4.460893255856221658e+05,2.549543044979939703e+06,6.495361173674543388e+06,2.588274603786665015e+06,6.992058509558237158e+06
4.460891975919849938e+05,2.549543474936305545e+06,6.495361048732725903e+06,2.588275005249355920e+06,6.992058542102808133e+06
4.460897452843565261e+05,2.549544010933431331e+06,6.495359617314936593e+06,2.588275627620518673e+06,6.992057442754602060e+06
4.460900014095589286e+05,2.549544558882853482e+06,6.495358754372187890e+06,2.588276211513513234e+06,6.992056857254964299e+06
4.460905231662998558e+05,2.549544873448392376e+06,6.495357022118357010e+06,2.588276611296745017e+06,6.992055396045429632e+06
4.460908874038885697e+05,2.549545390385615639e+06,6.495356007398745045e+06,2.588277183274876792e+06,6.992054665140447207e+06
4.460906942068411154e+05,2.549545750276978128e+06,6.495355875600646250e+06,2.588277504483114928e+06,6.992054661607929505e+06
4.460908816649390501e+05,2.549545674985892605e+06,6.495355480953222141e+06,2.588277462627195287e+06,6.992054279501335695e+06
4.460912579802914988e+05,2.549545667088919319e+06,6.495354641384780407e+06,2.588277519706556108e+06,6.992053520703136921e+06
4.460936090467702015e+05,2.549544820788458921e+06,6.495356000130806118e+06,2.588277091279376298e+06,6.992054624334459193e+06
4.460947175057655550e+05,2.549545395594686735e+06,6.495354299939572811e+06,2.588277848528750241e+06,6.992053325234877877e+06
4.460956305377305835e+05,2.549545753708968405e+06,6.495352906602448784e+06,2.588278358646976762e+06,6.992052219709830359e+06
