iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
94528400,22,400357138,2025,10,27,2,15,10,1,1,1,0,3
94528500,22,500357117,2025,10,27,2,15,10,1,1,1,0,3
94528600,22,600357095,2025,10,27,2,15,10,1,1,1,0,3
94528700,22,700357074,2025,10,27,2,15,10,1,1,1,0,3
94528800,22,800357053,2025,10,27,2,15,10,1,1,1,0,3
94528900,22,900357032,2025,10,27,2,15,10,1,1,1,0,3
94529000,22,357011,2025,10,27,2,15,11,1,1,1,0,3
94529100,22,100356990,2025,10,27,2,15,11,1,1,1,0,3
94529200,22,200356969,2025,10,27,2,15,11,1,1,1,0,3
94529300,22,300356948,2025,10,27,2,15,11,1,1,1,0,3
94529400,22,400356927,2025,10,27,2,15,11,1,1,1,0,3
94529500,22,500356905,2025,10,27,2,15,11,1,1,1,0,3
94529600,22,600356884,2025,10,27,2,15,11,1,1,1,0,3
94529700,22,700356863,2025,10,27,2,15,11,1,1,1,0,3
94529800,22,800356842,2025,10,27,2,15,11,1,1,1,0,3
94529900,22,900356821,2025,10,27,2,15,11,1,1,1,0,3
94530000,22,356800,2025,10,27,2,15,12,1,1,1,0,3
94530200,22,200356757,2025,10,27,2,15,12,1,1,1,0,3
94530300,22,300356736,2025,10,27,2,15,12,1,1,1,0,3
94530400,22,400356715,2025,10,27,2,15,12,1,1,1,0,3
94530500,22,500356694,2025,10,27,2,15,12,1,1,1,0,3
94530600,22,600356673,2025,10,27,2,15,12,1,1,1,0,3
94530700,22,700356652,2025,10,27,2,15,12,1,1,1,0,3
94530800,22,800356631,2025,10,27,2,15,12,1,1,1,0,3
94530900,22,900356610,2025,10,27,2,15,12,1,1,1,0,3
94531000,22,356589,2025,10,27,2,15,13,1,1,1,0,3
94531100,22,100356567,2025,10,27,2,15,13,1,1,1,0,3
94531200,22,200356546,2025,10,27,2,15,13,1,1,1,0,3
94531300,22,300356525,2025,10,27,2,15,13,1,1,1,0,3
94531400,22,400356504,2025,10,27,2,15,13,1,1,1,0,3
94531500,22,500356483,2025,10,27,2,15,13,1,1,1,0,3
94531600,22,600356462,2025,10,27,2,15,13,1,1,1,0,3
94531700,22,700356441,2025,10,27,2,15,13,1,1,1,0,3
94531800,22,800356420,2025,10,27,2,15,13,1,1,1,0,3
