iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
94512900,0,0,2,18,2,0,31355106,2441,7,0,1,1
94513000,0,0,2,18,2,0,31355105,2441,7,0,1,1
94513200,0,0,2,18,2,0,31355105,2441,7,0,1,1
94513300,0,0,2,18,2,0,31355105,2441,7,0,1,1
94513400,0,0,2,18,2,0,31355105,2441,7,0,1,1
94513500,0,0,2,18,2,0,31355105,2441,7,0,1,1
94513600,0,0,2,18,2,0,31355105,2441,7,0,1,1
94513700,0,0,2,18,2,0,31355105,2441,7,0,1,1
94513900,0,0,2,18,2,0,31355105,2441,7,0,1,1
94514000,0,0,2,18,2,0,31355104,2441,7,0,1,1
94514200,0,0,2,18,2,0,31355104,2441,7,0,1,1
94514400,0,0,2,18,2,0,31355104,2441,7,0,1,1
94514500,0,0,2,18,2,0,31355104,2441,7,0,1,1
94514700,0,0,2,18,2,0,31355104,2441,7,0,1,1
94514900,0,0,2,18,2,0,31355104,2441,7,0,1,1
94515000,0,0,2,18,2,0,31355103,2441,7,0,1,1
94515200,0,0,2,18,2,0,31355103,2441,7,0,1,1
94515300,0,0,2,18,2,0,31355103,2441,7,0,1,1
94515400,0,0,2,18,2,0,31355103,2441,7,0,1,1
94515500,0,0,2,18,2,0,31355103,2441,7,0,1,1
94515700,0,0,2,18,2,0,31355103,2441,7,0,1,1
94515900,0,0,2,18,2,0,31355103,2441,7,0,1,1
94516000,0,0,2,18,2,0,31355102,2441,7,0,1,1
94516200,0,0,2,18,2,0,31355102,2441,7,0,1,1
94516400,0,0,2,18,2,0,31355102,2441,7,0,1,1
94516500,0,0,2,18,2,0,31355102,2441,7,0,1,1
94516600,0,0,2,18,2,0,31355102,2441,7,0,1,1
94516700,0,0,2,18,2,0,31355102,2441,7,0,1,1
94516800,0,0,2,18,2,0,31355102,2441,7,0,1,1
94516900,0,0,2,18,2,0,31355102,2441,7,0,1,1
94517100,0,0,2,18,2,0,31355101,2441,7,0,1,1
94517300,0,0,2,18,2,0,31355101,2441,7,0,1,1
94517400,0,0,2,18,2,0,31355101,2441,7,0,1,1
94517500,0,0,2,18,2,0,31355101,2441,7,0,1,1
94517600,0,0,2,18,2,0,31355101,2441,7,0,1,1
94517700,0,0,2,18,2,0,31355101,2441,7,0,1,1
94517800,0,0,2,18,2,0,31355101,2441,7,0,1,1
94518000,0,0,2,18,2,0,31355100,2441,7,0,1,1
94518200,0,0,2,18,2,0,31355100,2441,7,0,1,1
94518300,0,0,2,18,2,0,31355100,2441,7,0,1,1
94518400,0,0,2,18,2,0,31355100,2441,7,0,1,1
94518500,0,0,2,18,2,0,31355100,2441,7,0,1,1
94518600,0,0,2,18,2,0,31355100,2441,7,0,1,1
94518700,0,0,2,18,2,0,31355100,2441,7,0,1,1
94518800,0,0,2,18,2,0,31355100,2441,7,0,1,1
94518900,0,0,2,18,2,0,31355100,2441,7,0,1,1
94519000,0,0,2,18,2,0,31355099,2441,7,0,1,1
94519100,0,0,2,18,2,0,31355099,2441,7,0,1,1
94519200,0,0,2,18,2,0,31355099,2441,7,0,1,1
94519300,0,0,2,18,2,0,31355099,2441,7,0,1,1
94519400,0,0,2,18,2,0,31355099,2441,7,0,1,1
94519500,0,0,2,18,2,0,31355099,2441,7,0,1,1
94519600,0,0,2,18,2,0,31355099,2441,7,0,1,1
94519700,0,0,2,18,2,0,31355099,2441,7,0,1,1
94519800,0,0,2,18,2,0,31355099,2441,7,0,1,1
94519900,0,0,2,18,2,0,31355099,2441,7,0,1,1
94520000,0,0,2,18,2,0,31355098,2441,7,0,1,1
94520100,0,0,2,18,2,0,31355098,2441,7,0,1,1
94520200,0,0,2,18,2,0,31355098,2441,7,0,1,1
94520300,0,0,2,18,2,0,31355098,2441,7,0,1,1
94520400,0,0,2,18,2,0,31355098,2441,7,0,1,1
94520500,0,0,2,18,2,0,31355098,2441,7,0,1,1
94520600,0,0,2,18,2,0,31355098,2441,7,0,1,1
94520700,0,0,2,18,2,0,31355098,2441,7,0,1,1
94520800,0,0,2,18,2,0,31355098,2441,7,0,1,1
94520900,0,0,2,18,2,0,31355098,2441,7,0,1,1
94521000,0,0,2,18,2,0,31355097,2441,7,0,1,1
94521100,0,0,2,18,2,0,31355097,2441,7,0,1,1
94521200,0,0,2,18,2,0,31355097,2441,7,0,1,1
94521300,0,0,2,18,2,0,31355097,2441,7,0,1,1
94521400,0,0,2,18,2,0,31355097,2441,7,0,1,1
94521500,0,0,2,18,2,0,31355097,2441,7,0,1,1
94521600,0,0,2,18,2,0,31355097,2441,7,0,1,1
94521700,0,0,2,18,2,0,31355097,2441,7,0,1,1
94521800,0,0,2,18,2,0,31355097,2441,7,0,1,1
94521900,0,0,2,18,2,0,31355097,2441,7,0,1,1
94522000,0,0,2,18,2,0,31355096,2441,7,0,1,1
94522100,0,0,2,18,2,0,31355096,2441,7,0,1,1
94522200,0,0,2,18,2,0,31355096,2441,7,0,1,1
94522300,0,0,2,18,2,0,31355096,2441,7,0,1,1
94522400,0,0,2,18,2,0,31355096,2441,7,0,1,1
94522500,0,0,2,18,2,0,31355096,2441,7,0,1,1
94522600,0,0,2,18,2,0,31355096,2441,7,0,1,1
94522700,0,0,2,18,2,0,31355096,2441,7,0,1,1
94522800,0,0,2,18,2,0,31355096,2441,7,0,1,1
94522900,0,0,2,18,2,0,31355096,2441,7,0,1,1
94523000,0,0,2,18,2,0,31355095,2441,7,0,1,1
94523100,0,0,2,18,2,0,31355095,2441,7,0,1,1
94523200,0,0,2,18,2,0,31355095,2441,7,0,1,1
94523300,0,0,2,18,2,0,31355095,2441,7,0,1,1
94523400,0,0,2,18,2,0,31355095,2441,7,0,1,1
94523500,0,0,2,18,2,0,31355095,2441,7,0,1,1
94523600,0,0,2,18,2,0,31355095,2441,7,0,1,1
94523700,0,0,2,18,2,0,31355095,2441,7,0,1,1
94523800,0,0,2,18,2,0,31355095,2441,7,0,1,1
94523900,0,0,2,18,2,0,31355095,2441,7,0,1,1
94524000,0,0,2,18,2,0,31355094,2441,7,0,1,1
94524100,0,0,2,18,2,0,31355094,2441,7,0,1,1
94524200,0,0,2,18,2,0,31355094,2441,7,0,1,1
94524300,0,0,2,18,2,0,31355094,2441,7,0,1,1
94524400,0,0,2,18,2,0,31355094,2441,7,0,1,1
94524500,0,0,2,18,2,0,31355094,2441,7,0,1,1
94524600,0,0,2,18,2,0,31355094,2441,7,0,1,1
94524700,0,0,2,18,2,0,31355094,2441,7,0,1,1
94524800,0,0,2,18,2,0,31355094,2441,7,0,1,1
94524900,0,0,2,18,2,0,31355094,2441,7,0,1,1
94525000,0,0,2,18,2,0,31355093,2441,7,0,1,1
94525100,0,0,2,18,2,0,31355093,2441,7,0,1,1
94525200,0,0,2,18,2,0,31355093,2441,7,0,1,1
94525300,0,0,2,18,2,0,31355093,2441,7,0,1,1
94525400,0,0,2,18,2,0,31355093,2441,7,0,1,1
94525500,0,0,2,18,2,0,31355093,2441,7,0,1,1
94525600,0,0,2,18,2,0,31355093,2441,7,0,1,1
94525700,0,0,2,18,2,0,31355093,2441,7,0,1,1
94525800,0,0,2,18,2,0,31355093,2441,7,0,1,1
94525900,0,0,2,18,2,0,31355093,2441,7,0,1,1
94526000,0,0,2,18,2,0,31355092,2441,7,0,1,1
94526100,0,0,2,18,2,0,31355092,2441,7,0,1,1
94526200,0,0,2,18,2,0,31355092,2441,7,0,1,1
94526300,0,0,2,18,2,0,31355092,2441,7,0,1,1
94526400,0,0,2,18,2,0,31355092,2441,7,0,1,1
94526500,0,0,2,18,2,0,31355092,2441,7,0,1,1
94526600,0,0,2,18,2,0,31355092,2441,7,0,1,1
94526700,0,0,2,18,2,0,31355092,2441,7,0,1,1
94526800,0,0,2,18,2,0,31355092,2441,7,0,1,1
94526900,0,0,2,18,2,0,31355092,2441,7,0,1,1
94527000,0,0,2,18,2,0,31355091,2441,7,0,1,1
94527100,0,0,2,18,2,0,31355091,2441,7,0,1,1
94527200,0,0,2,18,2,0,31355091,2441,7,0,1,1
94527300,0,0,2,18,2,0,31355091,2441,7,0,1,1
94527400,0,0,2,18,2,0,31355091,2441,7,0,1,1
94527500,0,0,2,18,2,0,31355091,2441,7,0,1,1
94527600,0,0,2,18,2,0,31355091,2441,7,0,1,1
94527700,0,0,2,18,2,0,31355091,2441,7,0,1,1
94527800,0,0,2,18,2,0,31355091,2441,7,0,1,1
94527900,0,0,2,18,2,0,31355091,2441,7,0,1,1
94528000,0,0,2,18,2,0,31355090,2441,7,0,1,1
94528100,0,0,2,18,2,0,31355090,2441,7,0,1,1
94528200,0,0,2,18,2,0,31355090,2441,7,0,1,1
94528300,0,0,2,18,2,0,31355090,2441,7,0,1,1
94528400,0,0,2,18,2,0,31355090,2441,7,0,1,1
94528500,0,0,2,18,2,0,31355090,2441,7,0,1,1
94528600,0,0,2,18,2,0,31355090,2441,7,0,1,1
