iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
94527500,0,0,0,0,0,0.0,1,57.29578
94527600,0,0,0,0,0,0.0,1,57.29578
94527700,0,0,0,0,0,0.0,1,57.29578
94527800,0,0,0,0,0,0.0,1,57.29578
94527900,0,0,0,0,0,0.0,1,57.29578
94528000,0,0,0,0,0,0.0,1,57.29578
94528100,0,0,0,0,0,0.0,1,57.29578
94528200,0,0,0,0,0,0.0,1,57.29578
94528300,0,0,0,0,0,0.0,1,57.29578
94528400,0,0,0,0,0,0.0,1,57.29578
94528500,0,0,0,0,0,0.0,1,57.29578
94528600,0,0,0,0,0,0.0,1,57.29578
94528700,0,0,0,0,0,0.0,1,57.29578
94528800,0,0,0,0,0,0.0,1,57.29578
94528900,0,0,0,0,0,0.0,1,57.29578
94529000,0,0,0,0,0,0.0,1,57.29578
94529100,0,0,0,0,0,0.0,1,57.29578
94529200,0,0,0,0,0,0.0,1,57.29578
94529300,0,0,0,0,0,0.0,1,57.29578
94529400,0,0,0,0,0,0.0,1,57.29578
94529500,0,0,0,0,0,0.0,1,57.29578
94529600,0,0,0,0,0,0.0,1,57.29578
94529700,0,0,0,0,0,0.0,1,57.29578
94529800,0,0,0,0,0,0.0,1,57.29578
94529900,0,0,0,0,0,0.0,1,57.29578
94530000,0,0,0,0,0,0.0,1,57.29578
94530200,0,0,0,0,0,0.0,1,57.29578
94530300,0,0,0,0,0,0.0,1,57.29578
94530400,0,0,0,0,0,0.0,1,57.29578
94530500,0,0,0,0,0,0.0,1,57.29578
94530600,0,0,0,0,0,0.0,1,57.29578
94530700,0,0,0,0,0,0.0,1,57.29578
94530800,0,0,0,0,0,0.0,1,57.29578
94530900,0,0,0,0,0,0.0,1,57.29578
94531000,0,0,0,0,0,0.0,1,57.29578
94531100,0,0,0,0,0,0.0,1,57.29578
94531200,0,0,0,0,0,0.0,1,57.29578
94531300,0,0,0,0,0,0.0,1,57.29578
94531400,0,0,0,0,0,0.0,1,57.29578
94531500,0,0,0,0,0,0.0,1,57.29578
94531600,0,0,0,0,0,0.0,1,57.29578
94531700,0,0,0,0,0,0.0,1,57.29578
94531800,0,0,0,0,0,0.0,1,57.29578
94531900,0,0,0,0,0,0.0,1,57.29578
94532000,0,0,0,0,0,0.0,1,57.29578
94532200,0,0,0,0,0,0.0,1,57.29578
94532300,0,0,0,0,0,0.0,1,57.29578
94532400,0,0,0,0,0,0.0,1,57.29578
94532500,0,0,0,0,0,0.0,1,57.29578
94532600,0,0,0,0,0,0.0,1,57.29578
94532700,0,0,0,0,0,0.0,1,57.29578
94532800,0,0,0,0,0,0.0,1,57.29578
94532900,0,0,0,0,0,0.0,1,57.29578
94533000,0,0,0,0,0,0.0,1,57.29578
94533100,0,0,0,0,0,0.0,1,57.29578
94533200,0,0,0,0,0,0.0,1,57.29578
94533300,0,0,0,0,0,0.0,1,57.29578
94533400,0,0,0,0,0,0.0,1,57.29578
94533500,0,0,0,0,0,0.0,1,57.29578
94533600,0,0,0,0,0,0.0,1,57.29578
94533700,0,0,0,0,0,0.0,1,57.29578
94533800,0,0,0,0,0,0.0,1,57.29578
94533900,0,0,0,0,0,0.0,1,57.29578
94534000,0,0,0,0,0,0.0,1,57.29578
94534100,0,0,0,0,0,0.0,1,57.29578
94534200,0,0,0,0,0,0.0,1,57.29578
94534300,0,0,0,0,0,0.0,1,57.29578
94534400,0,0,0,0,0,0.0,1,57.29578
94534500,0,0,0,0,0,0.0,1,57.29578
94534600,0,0,0,0,0,0.0,1,57.29578
94534700,0,0,0,0,0,0.0,1,57.29578
94534800,0,0,0,0,0,0.0,1,57.29578
94534900,0,0,0,0,0,0.0,1,57.29578
94535000,0,0,0,0,0,0.0,1,57.29578
94535100,0,0,0,0,0,0.0,1,57.29578
94535200,0,0,0,0,0,0.0,1,57.29578
94535300,0,0,0,0,0,0.0,1,57.29578
94535400,0,0,0,0,0,0.0,1,57.29578
94535500,0,0,0,0,0,0.0,1,57.29578
94535600,0,0,0,0,0,0.0,1,57.29578
94535700,0,0,0,0,0,0.0,1,57.29578
94535800,0,0,0,0,0,0.0,1,57.29578
94535900,0,0,0,0,0,0.0,1,57.29578
94536000,0,0,0,0,0,0.0,1,57.29578
94536200,0,0,0,0,0,0.0,1,57.29578
94536300,0,0,0,0,0,0.0,1,57.29578
94536400,0,0,0,0,0,0.0,1,57.29578
94536500,0,0,0,0,0,0.0,1,57.29578
94536600,0,0,0,0,0,0.0,1,57.29578
94536700,0,0,0,0,0,0.0,1,57.29578
94536800,0,0,0,0,0,0.0,1,57.29578
94536900,0,0,0,0,0,0.0,1,57.29578
94537000,0,0,0,0,0,0.0,1,57.29578
94537100,0,0,0,0,0,0.0,1,57.29578
94537200,0,0,0,0,0,0.0,1,57.29578
94537300,0,0,0,0,0,0.0,1,57.29578
94537400,0,0,0,0,0,0.0,1,57.29578
94537500,0,0,0,0,0,0.0,1,57.29578
94537600,0,0,0,0,0,0.0,1,57.29578
94537700,0,0,0,0,0,0.0,1,57.29578
