version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,108597200,114.181355507,22.300869673,15939.8,17542.8,302.3,534.9
0,0,0,108597300,114.181356985,22.300869804,15951.3,17554.3,302.0,534.3
0,0,0,108597400,114.181358048,22.300869742,15970.8,17573.8,301.7,533.8
0,0,0,108597500,114.181358902,22.30086958,15969.1,17572.1,301.3,533.2
0,0,0,108597600,114.181360172,22.300869609,15954.8,17557.8,301.0,532.6
0,0,0,108597700,114.181361141,22.300869676,15930.5,17533.5,300.7,532.1
0,0,0,108597800,114.181362196,22.30086971,15902.1,17505.1,300.4,531.5
0,0,0,108597900,114.181363233,22.300869874,15932.1,17535.0,300.1,530.9
0,0,0,108598000,114.1813639,22.300870196,15957.7,17560.6,299.7,530.3
0,0,0,108598200,114.18136542,22.300870459,15973.1,17576.0,299.8,530.3
0,0,0,108598300,114.181365776,22.300870966,15990.4,17593.3,299.4,529.7
0,0,0,108598500,114.181367629,22.300871408,15997.1,17600.1,299.5,529.7
0,0,0,108598700,114.181369414,22.300871608,15982.3,17585.2,299.5,529.7
0,0,0,108598900,114.181370995,22.300871899,15954.5,17557.4,299.6,529.8
0,0,0,108599100,114.181372217,22.300872272,15933.1,17536.0,299.7,529.8
0,0,0,108599300,114.181373521,22.30087295,15871.0,17473.9,299.7,529.9
0,0,0,108599500,114.181374526,22.300874248,15814.9,17417.8,299.8,529.9
0,0,0,108599700,114.181375494,22.300875433,15825.6,17428.5,299.9,530.0
0,0,0,108599900,114.181376777,22.300876557,15781.7,17384.6,299.9,530.0
0,0,0,108600100,114.181377856,22.300877829,15755.6,17358.5,300.0,530.0
0,0,0,108600300,114.181378394,22.300879075,15791.2,17394.1,300.1,530.1
0,0,0,108600500,114.181378951,22.300880298,15781.9,17384.8,300.1,530.1
0,0,0,108600700,114.181379395,22.300882391,15774.0,17376.9,300.2,530.1
0,0,0,108600900,114.181380651,22.300883465,15813.0,17415.9,300.3,530.1
0,0,0,108601100,114.181381087,22.300885089,15848.6,17451.6,300.3,530.2
0,0,0,108601300,114.181381815,22.300886333,15892.0,17494.9,300.4,530.2
0,0,0,108601500,114.181382587,22.300887962,15892.5,17495.4,300.5,530.3
0,0,0,108601700,114.181382957,22.300889647,15884.2,17487.1,300.6,530.4
0,0,0,108601900,114.181383163,22.300891763,15939.2,17542.1,300.7,530.4
0,0,0,108602100,114.181384243,22.300893437,15903.4,17506.3,300.8,530.5
0,0,0,108602300,114.181385026,22.300895554,15878.9,17481.8,301.0,530.6
0,0,0,108602500,114.181385506,22.300897672,15896.6,17499.5,301.1,530.7
0,0,0,108602700,114.181385841,22.300899149,15867.5,17470.5,301.2,530.8
0,0,0,108602900,114.181386164,22.300901311,15842.2,17445.1,301.4,531.0
0,0,0,108603100,114.181386737,22.300903086,15858.5,17461.4,301.5,531.1
0,0,0,108603300,114.18138702,22.300905046,15836.6,17439.5,301.6,531.2
0,0,0,108603400,114.18138676,22.300906408,15855.9,17458.8,301.3,530.7
0,0,0,108603600,114.181386743,22.300908182,15887.3,17490.2,301.4,530.9
0,0,0,108603800,114.181386783,22.300909677,15852.6,17455.5,301.6,531.0
0,0,0,108604000,114.181386281,22.300912175,15830.5,17433.4,301.7,531.1
0,0,0,108604200,114.181386316,22.300914476,15837.3,17440.3,301.8,531.1
0,0,0,108604400,114.181386682,22.300916444,15844.5,17447.4,301.9,531.3
0,0,0,108604500,114.181386799,22.300917796,15844.6,17447.6,301.6,530.7
0,0,0,108604600,114.181386669,22.30091901,15897.1,17500.1,301.2,530.1
0,0,0,108604800,114.181386808,22.300920863,15857.0,17460.0,301.3,530.2
0,0,0,108605000,114.181386824,22.300922949,15846.1,17449.0,301.5,530.4
0,0,0,108605200,114.181386848,22.300924833,15886.6,17489.5,301.6,530.4
0,0,0,108605400,114.181387167,22.300926779,15831.1,17434.1,301.6,530.5
